" (Posted on %s)"," (Posted on %s)"
"%d review reminder(s) have not been sent by email unsubscribed","%d review reminder(s) have not been sent by email unsubscribed"
"%d Review(s)","%d Review(s)"
"%s > ","%s > "
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add Your Review","Add Your Review"
"Admin emails","Admin emails"
"Admin Notification","Admin Notification"
"Are you sure to Delete all Checked unsubscriber(s) ?","Are you sure to Delete all Checked unsubscriber(s) ?"
"Are you sure you want to Delete all Checked reminder(s) ?","Are you sure you want to Delete all Checked reminder(s) ?"
"Are you sure you want to Send all Checked reminder(s) ?","Are you sure you want to Send all Checked reminder(s) ?"
"Are you sure you want to send review reminder email?","Are you sure you want to send review reminder email?"
"Be the first to review this product","Be the first to review this product"
"Block Title","Block Title"
"Catalog","Catalog"
"Configuration","Configuration"
"Connect to Facebook Fanpage","Connect to Facebook Fanpage"
"Created At","Created At"
"Customer Email","Customer Email"
"Customer Review Reminder","Customer Review Reminder"
"Customer Reviews","Customer Reviews"
"Delete","Delete"
"Display ONLY reviews have rating greater than (%)","Display ONLY reviews have rating greater than (%)"
"Display reviews on the Left sidebar","Display reviews on the Left sidebar"
"Display reviews on the Right sidebar","Display reviews on the Right sidebar"
"Email Sender","Email Sender"
"Email template","Email template"
"Enable Captcha in Review Form","Enable Captcha in Review Form"
"Enable Review in Product Page","Enable Review in Product Page"
"Enable Social Sharing","Enable Social Sharing"
"Enable to display Product Image with Review","Enable to display Product Image with Review"
"Enable Voting for Review","Enable Voting for Review"
"Facebook App Secret","Facebook App Secret"
"Facebook Config","Facebook Config"
"Facebook Exception: ","Facebook Exception: "
"Facebook Page ID","Facebook Page ID"
"Filter reviews by category","Filter reviews by category"
"From (Store)","From (Store)"
"has been received a review","has been received a review"
"has received a review from","has received a review from"
"How do you rate this product: ","How do you rate this product: "
"How do you rate this product?","How do you rate this product?"
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"Magebuzz Add-ons","Magebuzz Add-ons"
"Manage Reminder","Manage Reminder"
"Manage Reminders","Manage Reminders"
"Manage Unsubscribed Customers","Manage Unsubscribed Customers"
"New Review Notification","New Review Notification"
"Nickname","Nickname"
"Number of reviews to display","Number of reviews to display"
"Only registered users can write reviews. Please","Only registered users can write reviews. Please"
"Order","Order"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Please select reminder(s)","Please select reminder(s)"
"Please select subscriber(s)","Please select subscriber(s)"
"Please write some lines for ","Please write some lines for "
"Product Name","Product Name"
"Product","Product"
"Reminder email will be created when order status is","Reminder email will be created when order status is"
"Reminder email will send after","Reminder email will send after"
"Reminder ID","Reminder ID"
"Reminder Status","Reminder Status"
"Review Booster Config","Review Booster Config"
"Review Booster","Review Booster"
"Review Form Fields Before","Review Form Fields Before"
"Review in Product Page","Review in Product Page"
"Review Reminder Email for Customer","Review Reminder Email for Customer"
"Review with ID:%s was successfully posted to your Facebook page","Review with ID:%s was successfully posted to your Facebook page"
"Review","Review"
"Send notification to admin","Send notification to admin"
"Send Review Reminder Email","Send Review Reminder Email"
"Some review reminder(s) have been sent","Some review reminder(s) have been sent"
"Send","Send"
"Sending At","Sending At"
"Sidebar Display","Sidebar Display"
"Social Sharing","Social Sharing"
"Submit Review","Submit Review"
"Successfully connect to your Facebook Page: %s.","Successfully connect to your Facebook Page: %s."
"Summary of Your Review","Summary of Your Review"
"Total of %d reminder(s) have been deleted.","Total of %d reminder(s) have been deleted."
"Total of %d reminder(s) have been sent.","Total of %d reminder(s) have been sent."
"Total of %d reminder(s) have NOT been sent: %s.","Total of %d reminder(s) have NOT been sent: %s."
"Total of %d unsubscriber(s) have been deleted.","Total of %d unsubscriber(s) have been deleted."
"Unable to post the review. Please fill all required fields.","Unable to post the review. Please fill all required fields."
"Unsubscribed Email","Unsubscribed Email"
"Unsubscribed ID","Unsubscribed ID"
"View order","View order"
"View product","View product"
"We are so sorry if disturbed you!","We are so sorry if disturbed you!"
"We are so sorry if we are disturbing you!","We are so sorry if we are disturbing you!"
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"Your vote was successfully posted.","Your vote was successfully posted."
